ph,hardness,tds,chlorine,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity,potability
7.82,338.66,115.39,4.18,3.44,2342.37,0.03,73.96,1.72,0
5.92,57.49,274.18,4.0,234.43,2642.11,9.98,107.95,5.07,0
8.05,411.59,627.08,2.04,405.35,2509.67,11.49,76.38,1.08,0
6.54,308.54,68.06,4.4,255.78,1597.03,2.15,43.09,2.41,0
9.21,293.61,145.74,4.13,51.96,2236.82,2.78,82.33,2.03,0
6.28,253.11,359.97,2.0,18.76,243.47,4.94,4.45,2.39,0
6.85,99.21,398.97,2.07,249.38,838.44,10.07,85.52,5.15,0
6.81,250.19,611.59,1.94,382.84,627.19,8.41,218.85,1.14,0
7.7,379.09,156.17,2.55,65.41,1225.94,4.71,101.67,3.08,0
6.41,86.88,,3.53,127.54,320.34,6.56,29.42,3.22,0
8.43,309.62,120.61,0.94,62.47,1062.97,1.76,120.75,2.9,0
7.61,825.12,1022.89,1.91,218.23,1289.19,5.76,27.84,1.33,0
7.82,380.68,596.4,2.03,233.71,514.63,0.81,117.24,4.04,0
7.43,261.8,1084.15,2.14,539.82,1237.18,8.66,61.46,4.3,0
8.19,87.8,323.42,0.03,327.62,2371.28,7.03,100.58,0.23,0
6.15,396.52,284.48,2.75,122.65,1537.0,7.8,38.35,1.65,1
7.99,371.83,101.76,2.15,281.48,2309.37,5.72,206.78,2.67,0
9.38,86.77,198.36,0.03,283.3,845.15,9.88,51.51,0.17,0
8.36,415.41,153.84,2.58,739.76,497.39,5.7,172.72,1.13,0
,164.98,204.09,4.48,261.41,2712.47,11.58,30.95,1.25,0
7.86,244.11,867.78,3.56,374.78,1729.0,5.16,113.49,0.35,0
7.82,117.39,369.87,3.4,242.0,724.04,10.12,5.33,1.33,0
7.26,357.65,302.68,0.68,349.54,531.86,10.16,6.44,3.45,0
6.53,367.87,1038.72,2.48,242.95,798.33,9.23,67.15,1.75,0
7.74,265.56,114.31,2.08,77.98,17.59,7.55,3.18,5.18,0
7.45,140.1,268.84,1.87,114.75,10.29,5.79,50.07,3.07,0
8.14,221.69,62.48,3.74,278.32,902.95,10.04,19.65,2.54,0
6.68,228.53,293.29,1.27,185.48,120.31,3.92,86.92,1.84,1
8.1,88.66,100.1,1.03,317.62,175.13,6.23,44.78,1.58,1
6.23,232.32,431.91,1.97,233.58,1484.18,5.6,96.35,9.82,0
7.03,256.5,293.16,1.57,273.04,1593.45,10.87,90.41,1.96,0
6.18,259.75,169.52,2.59,0.12,4.79,5.95,130.58,3.14,0
7.8,145.31,164.3,1.67,74.46,573.78,10.4,122.27,4.09,0
7.16,427.02,333.98,0.56,315.05,504.17,5.17,42.05,0.66,0
6.8,260.52,335.56,3.21,139.93,2606.63,6.81,85.7,3.67,0
5.8,230.12,828.22,0.2,124.96,4446.46,6.1,97.38,4.96,0
6.63,227.89,83.31,3.3,118.44,1334.51,8.47,169.11,2.84,0
,185.44,182.25,4.18,177.66,210.46,5.42,52.95,0.19,0
7.88,307.46,316.57,3.66,320.92,491.7,5.12,77.07,3.46,1
7.84,169.98,264.26,1.95,368.9,2647.71,0.13,6.88,0.36,0
7.02,400.78,266.14,2.19,351.32,34.68,7.11,83.0,2.36,0
6.94,772.15,303.06,2.4,351.64,1174.72,5.36,56.57,1.31,0
7.32,313.63,248.72,4.3,228.48,1133.79,5.19,61.32,1.73,0
7.01,437.29,70.38,2.69,212.28,481.1,10.56,93.06,2.04,0
6.88,147.85,154.4,5.55,291.95,892.09,4.02,3.71,3.14,0
7.43,267.69,144.3,4.4,51.77,134.91,4.0,35.38,5.4,0
8.02,174.91,271.53,1.96,362.37,2287.96,1.85,26.7,10.55,0
6.78,1056.5,534.07,2.94,285.37,524.25,8.4,106.73,3.54,0
6.88,99.88,103.7,0.18,465.79,1589.33,7.68,88.62,3.23,0
6.56,308.57,141.11,1.44,51.01,1160.85,6.55,78.89,4.27,1
8.02,201.6,201.96,0.49,449.16,1769.98,14.66,209.39,1.23,0
8.09,111.03,184.69,4.08,205.74,1353.16,11.26,2.94,4.0,0
9.36,949.59,231.73,1.11,555.46,1128.06,5.78,49.94,0.33,0
8.06,396.14,215.84,7.89,797.71,2724.92,9.71,11.91,2.97,0
7.23,65.59,523.57,1.67,347.54,2077.01,8.37,75.06,2.68,0
8.37,328.25,342.81,2.8,395.91,1214.82,1.77,36.73,13.91,0
7.39,328.81,1039.58,2.7,359.59,1523.03,1.15,112.98,2.59,0
7.1,213.54,248.46,2.98,290.04,184.91,1.38,148.03,1.92,0
6.97,296.79,820.58,4.39,80.75,1031.81,0.5,93.05,4.05,0
,399.71,183.92,3.51,341.25,629.1,4.78,29.96,4.41,1
7.22,100.03,172.83,3.15,48.61,44.61,10.66,74.08,1.11,0
7.98,100.57,328.51,1.71,224.53,1890.82,0.3,19.15,4.82,0
6.33,384.96,458.33,3.04,181.37,492.27,2.9,105.76,1.74,0
7.5,44.44,325.02,1.01,171.27,1062.66,1.59,3.35,0.15,0
8.06,378.88,79.72,2.24,199.9,1343.57,2.41,13.57,1.28,1
5.08,11.47,439.82,4.11,78.74,199.96,8.63,75.45,4.89,0
6.93,58.09,52.32,3.08,115.28,891.0,11.61,27.27,1.9,0
7.03,208.35,397.48,4.01,357.16,2789.47,11.91,30.28,2.77,0
8.0,211.26,588.58,3.01,296.65,2267.96,6.67,148.84,6.71,0
7.22,569.62,66.24,4.26,228.77,1864.47,5.53,120.59,2.69,0
6.14,82.45,277.77,2.78,94.18,404.81,7.39,88.18,3.34,1
6.77,773.32,10.08,2.3,209.61,2686.28,9.52,7.38,1.03,0
6.78,292.58,274.12,0.94,364.98,762.08,4.61,4.95,4.07,0
6.39,165.78,77.18,0.23,291.48,890.52,4.7,24.43,1.95,1
8.23,272.85,81.54,1.53,551.3,202.59,4.67,68.72,1.19,0
8.0,151.77,866.56,2.88,89.13,2657.32,9.71,14.55,1.84,0
7.21,212.88,363.81,2.66,276.86,71.07,0.24,69.83,0.68,0
6.5,178.44,145.54,3.86,291.19,1704.67,6.34,46.79,3.39,1
6.98,394.48,392.42,2.45,301.56,2491.9,9.51,86.25,1.37,0
7.29,248.5,375.88,2.61,148.76,2604.55,4.33,114.75,3.98,0
6.71,380.57,100.52,4.24,232.32,1339.38,11.0,111.9,10.8,0
7.48,134.82,396.81,2.75,166.91,1463.39,11.22,114.1,0.27,0
7.45,203.2,292.32,1.85,279.88,2798.52,6.22,7.59,3.21,0
6.03,216.11,123.03,4.23,295.59,984.07,0.99,64.83,0.65,0
8.08,615.01,245.84,4.06,295.31,819.67,8.83,34.78,3.93,0
6.6,157.05,170.05,2.16,110.55,1871.66,11.32,126.94,2.77,0
7.36,333.86,314.06,4.27,298.13,455.51,11.29,44.04,1.44,0
6.58,442.92,101.17,3.56,181.26,2392.84,4.01,14.65,1.08,0
8.33,304.49,414.96,3.57,789.38,198.14,5.2,114.72,1.19,0
6.96,449.7,302.39,3.99,643.77,206.67,11.09,115.17,3.74,0
7.95,632.32,973.48,1.01,94.26,772.11,9.67,14.95,1.6,0
8.36,662.54,1099.63,3.05,355.3,2459.92,7.79,50.99,3.48,0
6.57,265.53,179.73,4.15,134.92,120.6,7.12,87.48,1.48,0
6.86,364.38,171.5,2.31,258.53,32824.81,11.82,111.9,4.71,0
6.94,324.06,207.25,3.86,283.41,179.74,2.3,101.37,1.02,0
8.91,46.26,396.55,3.42,172.74,2641.52,10.3,28.64,1.05,0
6.28,798.25,64.24,3.18,196.02,1961.35,6.88,64.28,0.89,0
7.56,343.66,110.87,4.4,,805.18,8.51,187.55,4.16,0
,152.83,529.43,2.87,246.95,377.69,11.46,128.33,2.28,0
5.14,431.39,270.73,1.07,228.17,1903.67,6.76,69.82,2.71,0
9.59,156.11,287.64,3.59,207.28,1213.25,9.45,24.74,2.43,0
7.69,932.53,389.85,3.64,241.43,2166.27,2.88,0.5,3.46,0
5.07,48.79,62.43,0.1,389.9,2224.6,7.66,87.81,0.44,0
7.27,543.87,95.83,2.92,310.07,254.24,4.73,21.43,0.99,0
6.62,231.9,279.95,1.12,109.59,2061.98,10.96,40.3,4.36,0
,233.03,193.82,0.43,361.17,150.23,11.35,81.75,8.29,0
7.59,183.53,307.45,0.48,10.79,1672.99,5.67,41.38,4.97,0
7.72,134.6,56.54,6.69,244.68,125.6,10.8,46.76,3.5,0
6.76,552.02,385.56,3.97,117.95,1631.15,4.35,11.89,0.8,0
5.12,96.8,295.36,6.2,316.1,1019.49,4.93,78.38,2.35,0
8.3,429.35,280.16,1.93,372.65,884.96,9.74,53.18,0.23,0
6.11,278.02,893.26,0.21,19.56,2715.62,9.27,119.54,5.25,0
5.15,381.42,73.47,2.32,36.42,1641.8,6.01,27.68,4.58,0
5.03,119.33,96.35,1.96,221.55,2518.63,4.54,161.11,1.63,0
8.2,330.19,87.73,1.25,174.12,2014.14,6.68,69.08,4.52,0
7.63,213.98,331.44,4.47,249.04,112.39,6.07,25.0,5.07,0
6.85,310.18,278.06,1.58,649.51,598.76,5.84,229.95,0.55,0
9.2,344.83,64.66,0.14,303.08,2631.48,9.03,82.94,0.72,0
8.25,128.96,500.78,3.59,520.16,1390.25,7.7,38.44,1.03,0
7.19,126.94,216.94,1.33,106.03,2477.12,16.23,83.87,4.91,0
6.65,199.91,319.48,1.92,257.75,726.69,6.64,113.53,3.94,0
6.6,155.53,122.07,3.28,352.7,2345.94,1.92,27.96,0.12,0
6.75,364.89,362.58,3.71,195.96,1491.0,9.9,105.77,7.38,0
5.47,19.87,368.5,2.55,84.2,51.7,10.09,81.19,4.02,0
6.65,75.43,186.65,0.21,308.86,1876.43,8.69,189.86,2.17,0
7.6,627.57,21.85,3.7,391.08,2714.19,8.86,40.51,3.96,0
6.04,218.78,294.65,4.09,245.53,2527.03,0.69,65.86,1.14,0
8.16,938.67,274.43,2.37,347.66,10.99,4.32,17.69,0.12,0
6.29,379.61,188.93,2.33,281.36,2171.22,8.24,151.5,6.48,0
7.02,95.31,244.26,3.09,48.82,276.28,11.75,80.3,1.94,0
7.06,110.44,795.05,2.78,206.43,1169.53,4.33,28.98,0.65,0
,400.66,147.89,0.65,90.46,1391.29,13.82,9.77,0.37,0
6.37,126.16,176.42,4.39,88.49,1004.55,3.1,128.03,3.42,0
6.54,378.54,268.2,1.25,271.18,807.56,2.82,26.31,2.49,1
7.64,391.3,542.43,0.23,334.99,2619.49,8.26,126.98,1.12,0
6.04,97.35,325.27,2.96,283.95,940.23,11.79,91.02,1.07,0
6.27,145.01,247.94,0.61,229.87,2562.35,6.23,46.74,1.48,0
6.36,323.5,309.97,4.35,129.2,435.95,10.93,34.48,3.45,0
8.29,313.25,164.33,2.32,227.99,442.8,9.5,24.55,2.4,1
8.43,228.12,318.88,0.01,146.89,2127.61,7.05,68.56,0.56,0
6.58,420.34,246.32,2.07,259.35,172.81,16.21,14.47,0.98,0
5.49,200.26,1063.59,0.38,192.94,1937.8,6.75,116.32,1.87,0
8.26,29.76,168.88,2.7,337.66,1837.78,6.82,25.98,0.71,0
,65.27,326.88,2.78,60.35,1408.1,8.86,96.98,2.79,1
8.24,260.92,144.14,0.05,226.41,340.34,8.77,67.06,4.84,1
,157.02,272.66,2.68,183.69,2216.37,9.18,58.3,1.85,0
,435.22,299.63,1.05,243.49,22.53,6.5,6.74,1.48,0
7.44,536.1,173.58,1.11,295.26,2198.64,0.42,36.34,10.42,0
,238.52,178.6,1.13,91.05,1199.35,8.2,28.25,1.38,1
5.63,1004.41,377.38,2.93,659.3,1897.46,3.98,152.59,1.3,0
8.78,209.53,76.61,3.68,464.39,1126.71,0.24,95.1,1.51,0
5.29,137.7,254.68,0.04,167.24,339.12,6.34,127.25,13.11,0
6.41,405.61,379.39,5.97,557.96,1947.11,2.1,24.79,0.11,0
7.37,1005.62,851.79,2.68,362.25,1037.91,11.91,92.91,1.99,0
7.01,581.52,130.79,1.14,131.85,2710.42,3.7,10.24,4.21,0
6.97,318.2,356.89,0.85,248.73,582.57,6.6,48.56,4.25,0
7.62,437.83,80.79,1.58,69.27,1261.48,14.68,80.95,0.23,0
6.38,99.58,163.56,2.58,198.52,2663.86,6.17,85.24,1.35,0
6.78,62.27,218.29,0.92,723.39,2197.73,8.41,72.2,2.88,0
6.0,292.32,237.52,4.05,325.05,1251.13,6.32,210.78,0.94,0
7.53,125.87,374.72,3.95,79.37,2398.87,6.45,27.57,2.35,0
6.04,98.61,359.07,0.55,340.49,2096.13,10.53,34.14,1.25,0
7.85,266.88,190.97,2.5,267.08,1125.23,14.91,81.05,2.46,0
6.47,82.16,62.67,0.27,119.1,34287.5,5.44,165.72,4.57,0
6.52,281.4,130.34,4.0,383.79,23803.57,9.23,78.33,0.69,0
6.3,403.16,63.06,3.5,289.54,1449.86,10.08,49.45,1.77,0
6.53,740.12,871.4,4.02,161.79,39.27,11.2,120.35,1.59,0
8.06,544.55,813.09,3.02,375.53,1004.68,9.43,117.08,3.91,0
8.39,294.45,414.86,0.23,234.04,371.64,4.43,66.66,4.11,0
8.35,13.8,257.12,0.86,229.65,1098.25,5.22,83.6,5.28,0
6.29,98.83,167.86,1.52,245.89,239.57,6.19,102.28,3.33,0
7.1,280.29,911.84,1.51,284.57,247.8,4.62,35.81,4.75,0
5.82,45.76,78.61,3.95,264.7,2243.15,11.96,54.63,3.87,0
5.23,99.82,190.02,0.32,262.48,1006.97,9.26,96.09,9.08,0
5.48,323.42,180.36,0.19,156.45,1344.05,10.26,121.93,1.82,0
6.49,254.37,138.18,2.23,151.55,1239.07,6.29,25.65,1.69,1
7.59,995.2,280.77,2.97,94.8,2323.9,2.91,229.26,1.76,0
9.63,377.46,83.69,3.65,197.33,421.89,9.29,98.59,2.61,0
7.41,255.37,181.02,0.94,85.94,1437.28,6.84,95.44,1.89,1
7.25,129.01,398.51,4.29,332.18,2707.74,6.5,183.23,7.39,0
6.36,187.45,67.56,3.26,398.12,2386.6,11.79,17.53,2.52,0
8.11,133.92,75.33,8.41,358.03,1967.1,4.71,72.3,2.63,0
6.14,266.6,279.44,2.45,235.29,2077.84,9.84,121.86,9.47,0
8.36,53.77,378.04,1.15,76.76,,4.33,26.39,1.96,0
5.08,269.47,1064.63,2.37,125.32,499.15,2.66,38.12,1.04,0
6.63,322.33,375.64,0.61,121.38,1643.55,9.64,8.85,3.37,0
7.75,1007.94,516.79,2.05,339.33,2615.28,3.61,90.69,5.36,0
7.91,407.5,292.46,0.83,162.31,2400.28,9.0,159.79,0.3,0
6.9,376.38,35.83,3.91,263.72,2724.63,3.75,7.22,3.43,0
9.71,380.61,328.64,3.69,384.39,2645.42,4.87,73.29,2.67,0
6.45,186.08,264.3,6.39,100.16,1278.16,11.88,124.03,1.46,0
6.03,171.16,333.24,0.48,328.86,592.81,1.67,94.46,0.34,1
6.03,78.67,387.76,0.71,389.12,1188.37,5.09,157.68,6.81,0
6.28,1012.14,161.92,0.98,171.74,408.19,10.92,13.43,3.17,0
6.28,239.07,454.24,0.89,172.34,199.47,9.09,79.85,4.56,0
7.72,328.27,80.08,3.86,134.62,397.09,3.41,22.08,2.68,1
7.13,540.87,84.22,2.89,255.97,2432.16,6.44,25.93,4.59,0
6.43,211.8,298.08,1.34,309.47,55.89,8.68,45.83,10.74,0
7.08,446.53,222.32,1.03,76.65,118.75,10.18,198.77,9.11,0
7.58,448.09,138.93,1.61,87.1,582.11,7.59,110.66,3.0,0
9.33,113.97,74.14,1.29,225.27,1912.2,9.71,24.58,13.47,0
6.87,491.22,136.54,4.47,268.68,374.7,17.44,128.73,4.29,0
6.68,358.02,296.67,1.19,359.76,844.04,10.54,81.85,2.05,0
5.35,312.38,378.06,0.99,208.46,490.07,9.33,143.86,1.21,0
6.41,403.96,362.55,2.74,65.95,1650.87,10.8,12.83,5.45,0
7.92,157.49,208.94,0.19,231.63,850.35,6.45,48.6,1.19,1
7.0,122.37,266.98,4.49,324.65,1685.34,8.31,11.36,1.03,0
8.23,82.16,242.4,0.68,38.19,136.43,9.84,36.2,1.14,1
7.29,357.18,201.76,2.12,279.52,28.96,4.46,59.89,4.32,0
6.63,238.28,317.3,3.91,273.56,504.55,1.39,67.23,0.88,1
6.47,252.21,81.34,1.99,184.09,1483.62,7.91,9.52,1.64,1
,291.94,661.13,0.05,395.51,489.29,5.15,93.85,1.46,0
7.84,990.24,506.03,1.03,280.07,1453.37,8.17,49.35,4.24,0
6.77,225.45,117.61,3.11,318.5,125.43,4.16,19.85,1.23,1
6.35,183.76,650.94,3.72,386.57,1449.37,7.89,110.71,0.65,0
7.72,423.27,319.88,3.79,272.99,787.32,0.68,56.06,1.12,0
9.67,260.4,106.89,0.31,272.96,1793.97,10.14,35.75,0.14,0
7.93,158.77,68.7,1.8,157.81,2353.83,1.97,128.85,0.04,0
7.97,358.0,94.27,4.24,299.32,1506.18,12.69,68.93,5.23,0
6.33,207.14,291.3,2.67,128.67,1105.98,11.17,4.76,1.47,0
8.49,179.0,101.84,6.33,301.99,1572.44,7.99,159.01,3.82,0
8.34,438.34,467.2,3.21,291.31,2150.56,14.71,2.04,1.16,0
8.26,23.55,86.26,2.36,288.68,162.28,4.83,1.72,0.8,0
7.22,430.77,334.1,1.19,311.44,471.86,11.49,108.59,2.39,0
8.39,61.02,130.82,4.19,203.72,1061.71,9.53,28.0,4.8,0
6.81,241.09,872.06,2.18,61.59,2219.83,4.24,82.72,3.42,0
7.92,5.65,,3.38,298.15,2794.78,10.42,207.2,3.71,0
8.72,44.89,391.86,0.38,129.18,536.99,7.16,114.47,2.77,0
8.49,1050.98,66.57,3.43,362.49,2347.41,0.28,49.13,3.37,0
5.81,104.38,395.98,1.53,62.03,95.0,4.92,91.44,5.09,0
8.22,91.27,112.3,3.61,706.11,2458.35,4.9,130.19,1.54,0
7.19,18.7,398.48,1.57,351.9,689.12,1.03,99.99,0.86,0
7.46,191.32,323.75,1.82,370.28,1740.2,4.61,19.56,0.42,0
5.91,170.92,340.54,4.48,309.77,1030.01,7.02,74.3,1.36,0
9.3,559.65,293.25,0.82,163.12,548.9,2.72,20.7,5.23,0
7.93,374.76,257.19,0.53,296.37,2459.29,5.59,119.87,5.39,0
7.76,112.92,172.88,1.46,232.89,2398.91,7.35,87.32,2.72,0
7.43,83.49,217.25,8.67,373.39,48.28,11.69,16.48,10.7,0
7.89,837.26,677.74,1.75,258.66,1611.94,11.68,9.28,1.82,0
5.06,1006.61,368.35,2.21,789.62,544.62,5.74,11.91,4.37,0
8.39,86.73,167.82,1.56,232.48,2342.07,10.86,50.53,5.14,0
6.78,60.22,178.98,0.71,356.33,730.45,11.94,8.64,1.52,0
6.88,280.63,83.76,1.37,103.66,1477.79,1.97,32.06,1.32,1
7.1,210.74,568.38,3.18,175.46,1517.67,3.03,69.53,4.94,0
7.78,600.56,324.62,1.84,167.27,989.93,10.54,9.52,0.14,0
5.28,216.65,265.86,4.22,56.66,2449.86,10.98,28.91,1.85,0
5.7,66.18,215.04,2.6,230.17,1061.29,4.09,24.11,1.8,0
7.86,123.19,1097.8,4.35,89.15,614.28,3.05,8.03,5.45,0
8.47,330.85,339.1,3.71,280.69,350.28,4.37,4.72,2.79,1
6.94,104.72,757.05,0.24,262.75,1421.26,11.72,101.37,3.08,0
5.05,214.05,963.85,4.01,133.7,418.78,8.35,19.15,4.39,0
8.28,40.41,364.64,3.86,313.14,494.36,6.3,61.48,1.59,0
7.23,215.17,119.22,4.46,258.96,2179.28,4.08,105.4,5.31,0
5.76,205.46,,1.35,157.26,359.7,6.36,63.42,0.73,0
6.18,158.37,296.36,0.53,275.04,203.64,2.23,85.11,0.21,1
7.03,303.18,114.64,1.15,372.45,1381.43,9.29,63.27,1.4,0
8.28,44.87,933.17,0.86,266.4,746.62,13.31,58.39,13.91,0
6.58,401.47,667.47,2.76,102.46,745.51,10.94,47.93,2.55,0
6.36,437.82,259.5,0.73,82.7,1024.87,8.38,39.58,5.28,0
7.6,5.42,88.54,3.66,347.55,1193.37,11.46,121.29,11.09,0
6.8,271.78,324.24,0.34,369.26,1079.41,10.61,16.67,1.13,0
7.29,320.34,104.09,2.33,336.26,395.18,6.39,82.72,5.25,0
5.51,362.37,263.05,5.18,188.46,2558.41,7.31,64.03,1.05,0
9.43,314.64,230.38,0.92,53.72,1971.96,11.39,144.22,3.68,0
8.36,383.7,71.68,3.72,98.54,2025.76,4.98,100.96,4.16,0
9.2,1016.39,875.41,2.84,301.73,1135.86,10.78,19.43,4.43,0
6.84,289.13,395.19,1.27,330.79,2723.01,2.94,111.59,3.0,0
9.1,229.93,454.42,0.96,253.98,434.44,8.89,103.24,0.56,0
7.64,75.59,391.8,3.85,399.47,55.46,12.61,61.69,1.01,0
7.71,388.77,581.56,1.33,462.69,2166.7,8.09,51.17,1.6,0
7.87,335.92,213.02,4.48,98.8,32525.66,10.07,12.43,2.53,0
6.56,342.85,682.36,2.91,179.33,2018.45,8.26,115.69,0.27,0
7.92,75.23,895.0,1.65,392.04,291.28,6.95,124.44,5.15,0
6.55,387.58,375.29,3.84,,251.67,1.62,181.11,2.89,0
8.82,219.15,172.06,3.37,98.14,2431.16,0.56,100.62,1.43,0
7.24,293.69,287.42,3.29,225.45,2628.68,8.19,52.48,2.99,0
6.94,168.03,229.9,3.13,723.41,160.14,7.74,113.75,2.35,0
7.94,389.66,316.94,2.86,365.5,966.04,6.53,0.26,1.18,0
8.48,79.83,259.72,0.65,80.75,1098.26,9.73,3.81,10.09,0
7.0,236.24,347.06,0.61,220.09,2594.08,7.94,66.55,1.85,0
8.08,83.14,336.1,2.8,160.24,1646.69,3.47,110.91,3.78,0
8.02,379.37,224.23,3.35,107.87,1489.44,1.4,172.37,2.43,0
8.43,708.86,226.14,4.39,255.82,1974.73,4.54,10.38,3.23,0
5.29,373.95,223.11,3.94,349.15,1589.63,8.94,1.6,4.53,0
7.05,352.48,,2.02,371.3,679.05,4.56,46.76,1.91,0
6.21,89.92,397.93,2.98,43.74,799.96,8.04,24.63,5.25,0
6.17,384.19,221.71,1.6,325.31,510.74,4.81,102.16,0.26,0
5.57,233.47,287.16,0.03,267.95,1076.64,5.04,47.12,1.54,0
8.23,272.07,209.29,3.77,388.14,2135.99,10.23,27.63,3.95,0
7.84,223.02,246.72,3.03,255.99,1090.31,5.24,111.01,2.58,0
6.97,212.53,80.69,1.43,185.17,2148.86,13.52,16.04,1.16,0
8.14,561.06,121.36,2.13,249.19,749.98,7.92,91.08,2.93,0
6.64,146.5,361.14,1.9,74.98,1562.41,0.81,16.54,4.06,0
7.64,288.85,1037.59,2.47,320.03,2257.66,3.21,25.35,4.13,0
8.47,243.47,53.32,3.82,195.82,655.53,10.42,85.32,1.56,0
7.43,439.16,186.36,2.26,462.75,1567.12,0.5,128.78,2.49,0
5.44,319.44,728.33,0.54,106.88,1996.07,8.26,91.27,5.08,0
7.68,406.77,591.74,2.5,395.27,1792.81,6.27,122.33,4.44,0
9.42,399.65,737.1,4.01,488.53,2656.42,10.83,17.3,1.26,0
7.75,67.85,105.93,2.28,111.43,420.71,9.04,107.07,5.4,0
8.01,671.23,77.13,3.02,90.76,156.04,7.71,1.19,1.46,0
8.24,706.96,104.63,3.37,184.42,2235.1,3.03,3.7,2.63,0
8.1,329.75,99.56,3.1,300.93,1043.8,11.08,56.57,3.37,0
7.8,932.94,333.19,2.11,284.2,2608.15,6.95,102.02,5.16,0
8.09,808.22,66.57,0.4,796.7,2610.13,9.13,62.42,2.13,0
7.76,60.47,223.81,2.65,218.99,1811.94,1.36,51.53,6.4,0
9.05,259.95,318.51,0.79,221.1,1342.51,5.55,87.59,1.3,0
7.31,343.89,,2.65,335.98,828.02,11.01,23.65,5.35,0
6.46,90.85,277.73,0.86,330.88,2516.55,9.43,48.6,2.38,0
9.26,440.88,101.34,1.52,372.42,588.9,10.64,115.25,2.5,0
7.8,403.39,70.35,3.66,313.17,2373.49,9.91,171.5,3.68,0
5.05,690.12,56.77,3.69,104.89,2796.15,10.14,4.68,1.35,0
7.24,76.49,331.14,3.49,361.86,714.16,11.08,97.39,0.85,0
8.33,82.59,61.95,1.02,395.9,2666.69,6.77,77.82,8.05,0
6.62,230.09,78.37,1.87,437.84,1484.88,10.64,111.13,1.24,0
6.61,147.71,257.71,0.51,354.41,,11.64,76.06,10.45,0
8.4,150.26,205.98,3.19,346.66,2420.25,5.62,110.62,3.07,0
7.12,225.41,282.16,2.97,609.72,1862.71,3.55,55.65,1.91,0
6.87,144.59,153.92,4.18,29.86,2460.17,11.88,103.9,2.99,0
7.94,260.84,484.53,2.02,152.65,2057.53,7.01,35.98,5.03,0
7.56,351.57,568.1,2.3,158.1,1998.11,5.61,117.18,5.23,0
6.12,250.08,310.04,0.07,191.63,1040.27,5.93,94.6,0.03,1
5.3,45.94,236.78,2.46,348.42,2229.7,7.86,23.27,1.01,0
7.46,96.91,273.44,0.57,197.63,2176.84,8.81,47.09,1.65,0
6.08,114.1,351.69,1.14,73.43,1195.13,7.18,5.15,2.36,0
8.43,171.12,115.49,1.43,304.05,173.63,1.0,120.27,2.34,0
7.28,363.71,359.9,0.99,358.19,2765.82,3.48,91.6,4.36,0
6.22,194.0,345.63,0.51,117.66,1362.68,4.7,83.04,1.5,1
7.91,83.28,160.8,0.81,199.13,2109.79,11.48,104.56,2.88,0
8.34,323.74,201.45,2.05,123.91,2128.45,11.91,106.18,4.81,0
6.53,366.16,342.57,4.41,344.38,2198.59,11.74,123.41,2.29,0
6.69,152.08,89.27,3.84,184.46,1802.98,6.74,15.01,3.85,0
6.33,341.15,373.79,3.27,181.79,1769.1,4.06,119.94,1.9,0
8.29,307.55,40.9,3.23,150.03,476.45,14.77,1.41,1.41,0
5.16,336.23,299.03,1.19,233.77,1267.42,2.35,103.03,8.76,0
6.31,346.08,1099.47,0.52,,74.95,0.07,64.53,12.0,0
6.78,1027.26,333.47,2.65,195.3,133.97,4.06,59.86,5.29,0
6.47,141.79,151.72,1.17,706.96,613.16,11.08,13.59,1.64,0
7.85,898.28,62.82,2.71,309.13,36703.94,6.07,73.31,4.45,0
9.8,122.54,201.15,1.1,298.78,282.58,1.7,7.6,1.74,0
7.13,437.42,262.02,1.27,384.7,2366.69,4.13,69.03,1.82,0
,65.31,278.05,2.18,238.05,2780.28,9.79,70.47,1.94,0
8.34,265.76,306.93,4.0,337.38,1371.26,8.93,63.86,3.87,1
5.66,127.12,297.88,4.03,330.06,1907.64,8.88,75.08,1.11,0
6.82,444.51,130.11,1.29,52.36,32297.46,5.25,13.49,4.35,0
7.45,168.7,368.79,2.32,351.36,185.54,6.3,178.19,3.21,0
6.67,327.55,374.17,0.51,238.77,399.01,6.95,63.16,3.4,0
6.96,401.06,229.78,1.81,261.6,2795.61,7.96,2.04,1.79,0
6.47,37.59,770.19,3.89,201.36,1012.46,10.9,214.6,4.64,0
6.62,1030.89,121.73,2.29,189.94,2376.95,4.79,84.45,5.3,0
7.05,106.48,188.74,2.05,247.36,2370.21,2.67,26.96,4.76,0
9.6,205.81,888.24,1.11,15.18,753.45,7.82,95.25,2.51,0
,242.0,351.19,0.88,174.8,1775.55,4.92,201.27,4.07,0
6.48,150.78,864.9,0.45,177.79,887.73,10.71,19.54,4.56,0
8.34,435.17,304.89,6.0,176.81,2156.84,2.06,14.49,10.38,0
7.33,735.42,50.44,0.54,231.67,2051.03,8.58,122.41,9.37,0
7.8,263.64,363.3,0.79,212.29,1009.41,11.29,146.03,5.47,0
6.65,80.96,76.76,1.49,113.9,736.6,4.01,47.16,3.01,1
6.37,260.12,125.3,0.12,126.67,1637.04,11.38,106.89,3.07,0
7.19,115.57,262.45,0.7,204.13,2104.39,6.78,26.06,2.31,0
6.85,75.26,359.09,0.09,142.93,1019.81,16.52,103.93,4.92,0
9.7,209.74,113.46,2.27,157.79,1934.81,11.28,104.12,5.35,0
